Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
60,30.0,18.0,14.0,58.0,12.0,48.0,298.0,15.0,45.0,65.0,15.0,23.0,10.0,197.0,35.0,20.0,242.0,42.0,27.0,54.0,13.0,23.0,205.0,109.0,500.0,32.0,176.0,18.0,36.0,10.0,17.0,95.0,10.0,10.0,139.0,54.0,34.0,10.0,11.0,86.0,355.0,78.0,16.0,13.0,19.0,16.0,55.0,51.0,85.0,27.0
61,26.0,17.0,15.0,37.0,46.0,31.0,49.0,46.0,52.0,37.0,25.0,66.0,11.0,140.0,71.0,10.0,481.0,37.0,77.0,126.0,14.0,19.0,227.0,18.0,500.0,40.0,253.0,13.0,59.0,10.0,34.0,75.0,9.0,10.0,134.0,54.0,45.0,10.0,9.0,185.0,297.0,148.0,45.0,11.0,28.0,11.0,58.0,29.0,149.0,50.0
62,18.0,16.0,15.0,70.0,19.0,32.0,130.0,94.0,44.0,29.0,29.0,35.0,9.0,151.0,56.0,17.0,421.0,74.0,173.0,110.0,41.0,16.0,65.0,119.0,500.0,35.0,359.0,18.0,40.0,10.0,29.0,75.0,9.0,10.0,151.0,12.0,95.0,10.0,16.0,290.0,405.0,137.0,14.0,14.0,26.0,11.0,36.0,57.0,123.0,27.0
63,22.0,18.0,14.0,44.0,28.0,16.0,180.0,23.0,45.0,28.0,34.0,24.0,14.0,256.0,35.0,25.0,404.0,64.0,26.0,73.0,17.0,22.0,77.0,46.0,500.0,36.0,500.0,14.0,99.0,10.0,22.0,107.0,10.0,10.0,134.0,22.0,48.0,10.0,10.0,148.0,244.0,102.0,15.0,14.0,14.0,15.0,29.0,45.0,181.0,88.0
64,37.0,16.0,14.0,79.0,9.0,23.0,91.0,17.0,49.0,47.0,32.0,36.0,10.0,164.0,51.0,20.0,348.0,38.0,19.0,121.0,9.0,13.0,172.0,77.0,500.0,39.0,500.0,35.0,17.0,10.0,11.0,109.0,9.0,10.0,164.0,13.0,25.0,10.0,9.0,131.0,115.0,85.0,14.0,13.0,13.0,40.0,33.0,60.0,228.0,22.0
65,16.0,16.0,14.0,27.0,35.0,23.0,144.0,21.0,45.0,19.0,14.0,28.0,10.0,148.0,47.0,15.0,500.0,64.0,109.0,130.0,31.0,22.0,65.0,50.0,500.0,43.0,500.0,12.0,74.0,10.0,19.0,218.0,10.0,10.0,165.0,13.0,54.0,10.0,10.0,361.0,94.0,137.0,13.0,12.0,14.0,18.0,37.0,55.0,102.0,41.0
66,16.0,16.0,15.0,51.0,15.0,28.0,239.0,20.0,45.0,68.0,50.0,21.0,10.0,145.0,53.0,18.0,500.0,52.0,121.0,350.0,25.0,36.0,200.0,82.0,500.0,44.0,500.0,24.0,15.0,10.0,22.0,156.0,10.0,10.0,149.0,19.0,30.0,10.0,11.0,208.0,104.0,29.0,90.0,11.0,12.0,23.0,35.0,30.0,475.0,50.0
67,47.0,16.0,15.0,162.0,27.0,51.0,98.0,32.0,49.0,38.0,61.0,39.0,10.0,161.0,99.0,13.0,500.0,84.0,30.0,179.0,22.0,15.0,119.0,34.0,500.0,35.0,500.0,15.0,23.0,10.0,26.0,151.0,10.0,10.0,143.0,18.0,40.0,10.0,9.0,136.0,130.0,63.0,18.0,11.0,19.0,58.0,87.0,73.0,185.0,21.0
68,27.0,15.0,16.0,110.0,15.0,34.0,117.0,50.0,49.0,40.0,65.0,30.0,10.0,113.0,113.0,23.0,500.0,112.0,144.0,44.0,18.0,25.0,186.0,59.0,500.0,40.0,500.0,18.0,20.0,10.0,43.0,105.0,9.0,10.0,154.0,27.0,44.0,10.0,12.0,241.0,107.0,74.0,9.0,10.0,20.0,15.0,27.0,63.0,119.0,62.0
69,9.0,14.0,15.0,177.0,76.0,28.0,117.0,20.0,46.0,72.0,32.0,38.0,10.0,106.0,38.0,13.0,267.0,38.0,97.0,180.0,29.0,47.0,174.0,17.0,500.0,40.0,500.0,11.0,20.0,10.0,29.0,93.0,10.0,10.0,151.0,31.0,49.0,10.0,11.0,130.0,92.0,80.0,12.0,9.0,18.0,18.0,22.0,44.0,147.0,58.0
70,38.0,15.0,16.0,160.0,16.0,14.0,228.0,22.0,49.0,70.0,202.0,33.0,10.0,109.0,175.0,17.0,500.0,64.0,46.0,155.0,18.0,17.0,178.0,84.0,500.0,41.0,500.0,59.0,20.0,10.0,28.0,53.0,10.0,10.0,161.0,17.0,33.0,10.0,11.0,133.0,82.0,151.0,56.0,9.0,19.0,23.0,47.0,85.0,149.0,30.0
71,53.0,16.0,16.0,112.0,20.0,84.0,46.0,110.0,49.0,77.0,43.0,19.0,10.0,117.0,135.0,18.0,369.0,80.0,32.0,173.0,35.0,20.0,403.0,100.0,500.0,44.0,500.0,18.0,15.0,10.0,11.0,143.0,10.0,10.0,155.0,33.0,107.0,10.0,12.0,199.0,71.0,77.0,35.0,9.0,12.0,16.0,22.0,88.0,287.0,45.0
72,18.0,15.0,16.0,158.0,16.0,40.0,19.0,45.0,46.0,29.0,30.0,19.0,10.0,102.0,286.0,11.0,294.0,92.0,128.0,139.0,25.0,36.0,263.0,87.0,500.0,35.0,371.0,12.0,27.0,10.0,26.0,146.0,10.0,10.0,181.0,21.0,167.0,10.0,13.0,132.0,78.0,85.0,21.0,9.0,9.0,31.0,45.0,71.0,193.0,36.0
73,15.0,14.0,16.0,155.0,19.0,26.0,81.0,14.0,57.0,35.0,44.0,23.0,10.0,75.0,148.0,35.0,271.0,76.0,97.0,300.0,22.0,21.0,500.0,86.0,500.0,36.0,235.0,30.0,50.0,10.0,17.0,192.0,10.0,10.0,205.0,17.0,37.0,10.0,10.0,186.0,76.0,190.0,19.0,9.0,12.0,20.0,25.0,93.0,281.0,62.0
74,10.0,17.0,16.0,263.0,70.0,77.0,110.0,37.0,58.0,31.0,59.0,27.0,10.0,92.0,305.0,29.0,164.0,42.0,29.0,139.0,25.0,22.0,430.0,51.0,417.0,33.0,500.0,21.0,32.0,10.0,13.0,141.0,10.0,10.0,164.0,20.0,45.0,10.0,13.0,164.0,84.0,245.0,23.0,9.0,11.0,46.0,93.0,67.0,344.0,116.0
75,14.0,13.0,16.0,340.0,14.0,19.0,123.0,58.0,58.0,49.0,79.0,27.0,10.0,102.0,129.0,10.0,189.0,259.0,232.0,400.0,39.0,34.0,285.0,43.0,310.0,33.0,399.0,28.0,23.0,10.0,13.0,162.0,9.0,10.0,267.0,13.0,13.0,10.0,12.0,117.0,33.0,69.0,24.0,9.0,16.0,22.0,38.0,81.0,158.0,39.0
76,22.0,12.0,16.0,74.0,48.0,21.0,272.0,99.0,54.0,58.0,92.0,42.0,10.0,110.0,142.0,11.0,165.0,44.0,94.0,187.0,87.0,14.0,194.0,57.0,240.0,38.0,495.0,21.0,33.0,10.0,32.0,161.0,9.0,10.0,275.0,15.0,60.0,10.0,10.0,193.0,87.0,127.0,44.0,9.0,13.0,36.0,24.0,104.0,152.0,48.0
77,30.0,14.0,17.0,283.0,20.0,22.0,51.0,32.0,62.0,37.0,103.0,20.0,10.0,98.0,142.0,21.0,178.0,89.0,215.0,42.0,17.0,27.0,191.0,57.0,204.0,37.0,297.0,23.0,39.0,10.0,13.0,266.0,9.0,10.0,304.0,39.0,99.0,10.0,14.0,164.0,36.0,147.0,9.0,9.0,18.0,84.0,50.0,89.0,225.0,55.0
78,19.0,16.0,17.0,365.0,26.0,24.0,235.0,51.0,100.0,63.0,15.0,15.0,10.0,101.0,167.0,24.0,225.0,126.0,167.0,152.0,28.0,81.0,147.0,71.0,179.0,38.0,500.0,26.0,61.0,10.0,19.0,95.0,9.0,10.0,385.0,12.0,77.0,10.0,10.0,196.0,32.0,264.0,20.0,9.0,44.0,18.0,69.0,35.0,137.0,54.0
79,39.0,15.0,18.0,142.0,41.0,49.0,230.0,30.0,61.0,42.0,65.0,28.0,10.0,79.0,89.0,17.0,173.0,39.0,274.0,177.0,17.0,11.0,119.0,79.0,159.0,32.0,500.0,13.0,53.0,10.0,32.0,132.0,9.0,10.0,207.0,25.0,66.0,10.0,9.0,95.0,35.0,282.0,32.0,9.0,10.0,40.0,57.0,52.0,188.0,41.0
80,20.0,17.0,18.0,500.0,31.0,22.0,102.0,29.0,100.0,90.0,36.0,30.0,10.0,93.0,91.0,18.0,109.0,91.0,229.0,162.0,29.0,21.0,125.0,123.0,154.0,46.0,500.0,29.0,19.0,10.0,14.0,273.0,9.0,10.0,447.0,28.0,180.0,10.0,16.0,102.0,44.0,228.0,21.0,9.0,12.0,50.0,34.0,58.0,326.0,70.0
81,14.0,16.0,17.0,378.0,46.0,53.0,130.0,34.0,54.0,30.0,123.0,74.0,10.0,94.0,92.0,16.0,175.0,159.0,118.0,104.0,47.0,24.0,86.0,89.0,145.0,37.0,426.0,22.0,38.0,10.0,13.0,398.0,9.0,10.0,324.0,13.0,46.0,10.0,9.0,169.0,66.0,52.0,17.0,9.0,17.0,25.0,45.0,123.0,229.0,45.0
82,13.0,17.0,18.0,135.0,57.0,18.0,166.0,114.0,58.0,31.0,90.0,12.0,10.0,85.0,85.0,14.0,176.0,115.0,87.0,33.0,41.0,22.0,88.0,43.0,137.0,43.0,500.0,29.0,77.0,12.0,18.0,145.0,10.0,12.0,294.0,26.0,29.0,10.0,14.0,109.0,29.0,150.0,12.0,9.0,17.0,27.0,64.0,99.0,198.0,80.0
83,12.0,17.0,18.0,404.0,73.0,25.0,273.0,72.0,60.0,27.0,62.0,44.0,10.0,102.0,77.0,12.0,170.0,143.0,123.0,126.0,56.0,44.0,90.0,135.0,132.0,57.0,124.0,21.0,25.0,10.0,58.0,154.0,10.0,10.0,289.0,15.0,65.0,10.0,9.0,174.0,37.0,269.0,17.0,9.0,28.0,50.0,71.0,37.0,214.0,35.0
84,31.0,19.0,18.0,500.0,27.0,10.0,261.0,93.0,58.0,36.0,109.0,54.0,10.0,111.0,60.0,14.0,152.0,65.0,34.0,162.0,31.0,52.0,86.0,57.0,128.0,46.0,432.0,108.0,18.0,10.0,26.0,42.0,10.0,10.0,500.0,17.0,87.0,10.0,13.0,155.0,42.0,378.0,30.0,9.0,20.0,75.0,68.0,151.0,212.0,73.0
85,11.0,19.0,18.0,499.0,12.0,54.0,333.0,59.0,47.0,44.0,158.0,24.0,10.0,85.0,61.0,16.0,164.0,90.0,95.0,192.0,18.0,16.0,84.0,34.0,128.0,57.0,500.0,35.0,22.0,9.0,30.0,378.0,9.0,10.0,443.0,11.0,21.0,10.0,10.0,163.0,43.0,206.0,14.0,9.0,20.0,35.0,38.0,49.0,205.0,66.0
86,16.0,19.0,19.0,393.0,11.0,42.0,286.0,172.0,46.0,81.0,78.0,38.0,10.0,94.0,56.0,28.0,125.0,59.0,95.0,98.0,43.0,22.0,78.0,54.0,117.0,72.0,500.0,63.0,48.0,10.0,75.0,199.0,9.0,10.0,292.0,11.0,27.0,10.0,11.0,134.0,49.0,185.0,11.0,9.0,10.0,28.0,91.0,108.0,115.0,85.0
87,44.0,22.0,18.0,299.0,98.0,20.0,137.0,89.0,43.0,62.0,15.0,51.0,10.0,110.0,55.0,26.0,113.0,88.0,56.0,132.0,28.0,21.0,80.0,57.0,122.0,62.0,500.0,21.0,31.0,10.0,11.0,273.0,10.0,10.0,277.0,21.0,48.0,10.0,9.0,151.0,57.0,147.0,25.0,9.0,11.0,25.0,98.0,149.0,128.0,31.0
88,16.0,21.0,19.0,246.0,20.0,27.0,211.0,35.0,44.0,50.0,141.0,22.0,10.0,87.0,52.0,22.0,107.0,46.0,71.0,128.0,42.0,23.0,78.0,86.0,123.0,108.0,500.0,60.0,39.0,10.0,12.0,114.0,10.0,10.0,215.0,18.0,43.0,10.0,9.0,242.0,38.0,256.0,69.0,9.0,21.0,49.0,53.0,98.0,269.0,60.0
89,50.0,22.0,19.0,210.0,35.0,37.0,158.0,123.0,39.0,59.0,38.0,30.0,10.0,116.0,48.0,18.0,104.0,89.0,129.0,174.0,57.0,72.0,71.0,83.0,121.0,114.0,500.0,18.0,22.0,10.0,48.0,210.0,12.0,10.0,180.0,33.0,72.0,10.0,12.0,290.0,49.0,112.0,23.0,9.0,24.0,38.0,100.0,27.0,227.0,26.0
90,19.0,20.0,20.0,164.0,67.0,31.0,151.0,135.0,39.0,81.0,162.0,37.0,10.0,119.0,42.0,22.0,87.0,96.0,40.0,143.0,96.0,20.0,71.0,74.0,117.0,103.0,500.0,16.0,111.0,10.0,119.0,280.0,10.0,10.0,133.0,12.0,52.0,10.0,9.0,212.0,39.0,163.0,25.0,9.0,9.0,35.0,118.0,171.0,418.0,38.0
91,18.0,20.0,18.0,123.0,71.0,24.0,249.0,49.0,38.0,55.0,40.0,25.0,10.0,104.0,40.0,15.0,133.0,37.0,40.0,160.0,29.0,30.0,69.0,62.0,119.0,215.0,500.0,11.0,74.0,10.0,17.0,213.0,9.0,10.0,129.0,13.0,66.0,10.0,13.0,400.0,56.0,189.0,40.0,9.0,10.0,19.0,112.0,134.0,255.0,63.0
92,51.0,22.0,18.0,101.0,50.0,32.0,193.0,107.0,39.0,43.0,110.0,40.0,10.0,91.0,42.0,36.0,90.0,120.0,118.0,174.0,21.0,29.0,79.0,42.0,117.0,74.0,500.0,24.0,32.0,10.0,26.0,248.0,9.0,10.0,130.0,17.0,81.0,10.0,9.0,101.0,46.0,151.0,23.0,9.0,11.0,34.0,167.0,85.0,279.0,66.0
93,39.0,20.0,19.0,90.0,35.0,40.0,317.0,98.0,36.0,35.0,68.0,19.0,10.0,117.0,40.0,18.0,104.0,115.0,256.0,225.0,14.0,19.0,63.0,94.0,120.0,73.0,500.0,13.0,107.0,10.0,36.0,133.0,10.0,10.0,123.0,10.0,95.0,10.0,17.0,151.0,47.0,107.0,24.0,9.0,12.0,58.0,130.0,117.0,315.0,47.0
94,28.0,23.0,18.0,87.0,37.0,29.0,179.0,177.0,37.0,38.0,108.0,29.0,10.0,111.0,37.0,21.0,89.0,91.0,109.0,103.0,84.0,17.0,60.0,53.0,119.0,60.0,500.0,16.0,43.0,10.0,12.0,211.0,9.0,10.0,132.0,18.0,33.0,10.0,11.0,200.0,66.0,125.0,29.0,9.0,29.0,44.0,164.0,90.0,240.0,83.0
95,47.0,20.0,19.0,105.0,106.0,30.0,154.0,90.0,35.0,42.0,156.0,18.0,10.0,92.0,39.0,25.0,94.0,115.0,78.0,167.0,24.0,57.0,63.0,152.0,116.0,59.0,500.0,36.0,17.0,10.0,20.0,186.0,9.0,10.0,124.0,24.0,81.0,10.0,12.0,326.0,58.0,119.0,10.0,9.0,19.0,81.0,38.0,111.0,222.0,69.0
96,10.0,23.0,19.0,120.0,116.0,18.0,233.0,44.0,38.0,60.0,115.0,33.0,10.0,87.0,37.0,15.0,107.0,150.0,171.0,266.0,59.0,38.0,54.0,89.0,121.0,52.0,500.0,14.0,49.0,10.0,42.0,119.0,10.0,10.0,120.0,12.0,75.0,10.0,9.0,185.0,56.0,162.0,40.0,9.0,27.0,79.0,109.0,155.0,390.0,26.0
97,39.0,22.0,18.0,140.0,47.0,33.0,248.0,171.0,36.0,55.0,86.0,37.0,10.0,103.0,33.0,20.0,110.0,27.0,65.0,181.0,26.0,10.0,61.0,28.0,121.0,42.0,500.0,32.0,54.0,10.0,24.0,272.0,10.0,10.0,123.0,49.0,47.0,10.0,15.0,427.0,46.0,183.0,19.0,9.0,40.0,40.0,35.0,90.0,261.0,62.0
98,30.0,23.0,17.0,155.0,15.0,14.0,196.0,58.0,35.0,49.0,89.0,22.0,10.0,93.0,35.0,11.0,118.0,64.0,85.0,239.0,45.0,15.0,58.0,89.0,117.0,35.0,500.0,28.0,36.0,10.0,25.0,160.0,9.0,10.0,120.0,39.0,24.0,10.0,12.0,175.0,52.0,119.0,19.0,9.0,9.0,38.0,103.0,208.0,395.0,50.0
99,50.0,23.0,18.0,204.0,73.0,48.0,145.0,120.0,35.0,61.0,102.0,38.0,10.0,107.0,38.0,12.0,117.0,127.0,229.0,176.0,27.0,13.0,51.0,123.0,123.0,31.0,500.0,54.0,75.0,10.0,30.0,204.0,10.0,10.0,116.0,16.0,42.0,10.0,12.0,277.0,51.0,122.0,34.0,9.0,14.0,57.0,50.0,132.0,500.0,81.0
100,17.0,21.0,19.0,235.0,63.0,43.0,136.0,135.0,35.0,84.0,278.0,25.0,10.0,81.0,36.0,19.0,81.0,144.0,142.0,131.0,26.0,14.0,47.0,64.0,125.0,33.0,500.0,12.0,32.0,10.0,38.0,260.0,9.0,12.0,112.0,53.0,51.0,10.0,9.0,260.0,39.0,154.0,22.0,9.0,77.0,88.0,59.0,132.0,187.0,53.0
101,61.0,23.0,18.0,276.0,69.0,78.0,123.0,392.0,37.0,40.0,44.0,18.0,12.0,94.0,37.0,24.0,112.0,64.0,227.0,254.0,40.0,23.0,42.0,164.0,131.0,34.0,500.0,32.0,112.0,10.0,14.0,135.0,9.0,10.0,119.0,25.0,126.0,10.0,15.0,360.0,44.0,169.0,64.0,9.0,27.0,67.0,125.0,146.0,410.0,52.0
102,37.0,20.0,18.0,320.0,124.0,52.0,336.0,90.0,37.0,27.0,83.0,15.0,10.0,94.0,37.0,56.0,94.0,41.0,125.0,419.0,44.0,24.0,50.0,58.0,140.0,36.0,500.0,33.0,95.0,10.0,54.0,257.0,10.0,10.0,113.0,31.0,134.0,10.0,9.0,240.0,52.0,44.0,14.0,9.0,19.0,33.0,55.0,217.0,442.0,48.0
103,24.0,21.0,17.0,488.0,79.0,24.0,355.0,211.0,35.0,62.0,182.0,34.0,10.0,93.0,39.0,14.0,72.0,91.0,195.0,172.0,52.0,14.0,39.0,72.0,147.0,40.0,500.0,16.0,49.0,10.0,96.0,180.0,9.0,10.0,108.0,12.0,120.0,10.0,9.0,263.0,53.0,126.0,37.0,9.0,23.0,44.0,107.0,158.0,434.0,40.0
104,24.0,24.0,18.0,500.0,36.0,43.0,212.0,168.0,36.0,20.0,248.0,32.0,10.0,84.0,38.0,18.0,99.0,240.0,165.0,269.0,67.0,21.0,34.0,241.0,151.0,40.0,500.0,44.0,60.0,10.0,20.0,237.0,10.0,12.0,99.0,54.0,104.0,10.0,23.0,212.0,53.0,144.0,46.0,9.0,30.0,76.0,106.0,98.0,201.0,91.0
105,21.0,21.0,16.0,500.0,88.0,38.0,171.0,253.0,37.0,69.0,58.0,16.0,10.0,99.0,42.0,13.0,101.0,101.0,111.0,69.0,26.0,49.0,38.0,100.0,159.0,45.0,500.0,22.0,24.0,10.0,12.0,186.0,10.0,10.0,101.0,20.0,77.0,10.0,10.0,395.0,52.0,140.0,18.0,9.0,41.0,57.0,172.0,168.0,349.0,37.0
106,11.0,21.0,17.0,423.0,86.0,18.0,155.0,173.0,39.0,50.0,181.0,29.0,10.0,89.0,38.0,18.0,71.0,167.0,222.0,394.0,20.0,52.0,36.0,108.0,168.0,45.0,500.0,14.0,24.0,10.0,28.0,215.0,9.0,10.0,119.0,30.0,144.0,10.0,10.0,327.0,67.0,120.0,16.0,9.0,11.0,112.0,73.0,107.0,205.0,47.0
107,24.0,21.0,18.0,392.0,76.0,17.0,183.0,183.0,37.0,36.0,100.0,15.0,10.0,107.0,43.0,22.0,71.0,158.0,131.0,235.0,164.0,17.0,35.0,172.0,185.0,42.0,500.0,22.0,169.0,10.0,32.0,286.0,9.0,10.0,113.0,25.0,169.0,10.0,10.0,397.0,53.0,172.0,44.0,9.0,20.0,64.0,143.0,229.0,437.0,38.0
108,21.0,24.0,19.0,351.0,46.0,32.0,141.0,277.0,39.0,87.0,386.0,16.0,10.0,109.0,40.0,20.0,69.0,141.0,266.0,231.0,66.0,25.0,31.0,193.0,46.0,42.0,500.0,18.0,24.0,10.0,28.0,185.0,10.0,10.0,122.0,16.0,93.0,10.0,12.0,416.0,56.0,154.0,11.0,9.0,16.0,99.0,155.0,202.0,348.0,48.0
109,18.0,20.0,16.0,284.0,50.0,33.0,126.0,170.0,39.0,22.0,112.0,60.0,10.0,124.0,43.0,10.0,100.0,110.0,106.0,219.0,34.0,35.0,30.0,216.0,217.0,43.0,500.0,32.0,100.0,10.0,21.0,293.0,10.0,10.0,123.0,17.0,107.0,10.0,10.0,384.0,60.0,142.0,17.0,9.0,13.0,71.0,38.0,154.0,500.0,30.0
110,17.0,23.0,18.0,300.0,57.0,46.0,177.0,98.0,41.0,59.0,183.0,37.0,10.0,91.0,40.0,22.0,79.0,85.0,113.0,179.0,66.0,13.0,29.0,100.0,220.0,51.0,500.0,26.0,30.0,10.0,49.0,277.0,10.0,10.0,117.0,19.0,310.0,10.0,14.0,500.0,114.0,142.0,16.0,9.0,11.0,101.0,99.0,264.0,456.0,27.0
111,53.0,22.0,19.0,306.0,95.0,71.0,209.0,182.0,41.0,89.0,120.0,41.0,10.0,94.0,45.0,46.0,66.0,99.0,177.0,358.0,75.0,10.0,26.0,123.0,241.0,45.0,500.0,26.0,50.0,10.0,30.0,249.0,9.0,10.0,115.0,11.0,94.0,10.0,14.0,500.0,70.0,250.0,25.0,9.0,18.0,48.0,116.0,234.0,113.0,65.0
112,11.0,22.0,21.0,304.0,38.0,23.0,146.0,104.0,41.0,50.0,101.0,39.0,10.0,122.0,40.0,18.0,70.0,160.0,148.0,243.0,13.0,19.0,25.0,92.0,257.0,42.0,500.0,53.0,83.0,10.0,17.0,197.0,9.0,10.0,128.0,20.0,103.0,10.0,12.0,500.0,119.0,249.0,35.0,9.0,10.0,57.0,126.0,210.0,323.0,84.0
113,73.0,22.0,20.0,319.0,86.0,32.0,154.0,161.0,41.0,26.0,305.0,28.0,10.0,124.0,36.0,20.0,77.0,137.0,88.0,500.0,33.0,26.0,26.0,89.0,294.0,47.0,500.0,11.0,47.0,10.0,56.0,77.0,10.0,10.0,122.0,70.0,171.0,10.0,10.0,500.0,127.0,238.0,24.0,9.0,22.0,44.0,58.0,149.0,500.0,21.0
114,27.0,24.0,21.0,326.0,101.0,19.0,179.0,219.0,46.0,59.0,270.0,56.0,9.0,120.0,40.0,21.0,63.0,78.0,148.0,177.0,118.0,12.0,23.0,185.0,353.0,48.0,500.0,45.0,48.0,10.0,95.0,202.0,10.0,10.0,133.0,31.0,58.0,10.0,10.0,500.0,117.0,124.0,15.0,9.0,14.0,44.0,132.0,191.0,194.0,48.0
115,22.0,24.0,22.0,301.0,155.0,56.0,125.0,139.0,44.0,133.0,194.0,37.0,10.0,123.0,40.0,11.0,105.0,93.0,123.0,453.0,105.0,36.0,23.0,148.0,419.0,53.0,500.0,15.0,110.0,10.0,51.0,348.0,10.0,9.0,123.0,48.0,50.0,10.0,10.0,500.0,130.0,190.0,23.0,9.0,13.0,48.0,65.0,164.0,192.0,32.0
116,17.0,24.0,22.0,278.0,118.0,27.0,128.0,118.0,51.0,48.0,187.0,38.0,10.0,137.0,41.0,11.0,132.0,283.0,108.0,217.0,42.0,26.0,22.0,97.0,466.0,45.0,500.0,44.0,98.0,10.0,31.0,450.0,10.0,10.0,124.0,51.0,118.0,10.0,10.0,375.0,116.0,60.0,14.0,9.0,39.0,60.0,133.0,180.0,167.0,45.0
117,25.0,26.0,25.0,252.0,127.0,29.0,140.0,209.0,52.0,40.0,265.0,43.0,10.0,120.0,40.0,17.0,105.0,65.0,153.0,220.0,183.0,32.0,22.0,144.0,500.0,54.0,500.0,18.0,89.0,10.0,74.0,146.0,9.0,10.0,129.0,21.0,151.0,10.0,10.0,500.0,119.0,188.0,13.0,9.0,19.0,41.0,82.0,234.0,173.0,57.0
118,17.0,26.0,25.0,261.0,44.0,15.0,216.0,204.0,52.0,52.0,218.0,23.0,10.0,107.0,36.0,34.0,123.0,303.0,264.0,241.0,95.0,29.0,22.0,109.0,500.0,49.0,500.0,15.0,57.0,10.0,14.0,270.0,10.0,10.0,121.0,52.0,140.0,10.0,11.0,500.0,111.0,121.0,30.0,9.0,18.0,37.0,153.0,284.0,130.0,74.0
119,27.0,27.0,22.0,233.0,75.0,15.0,170.0,117.0,47.0,44.0,128.0,44.0,10.0,156.0,40.0,15.0,100.0,244.0,182.0,179.0,112.0,18.0,22.0,145.0,500.0,48.0,500.0,49.0,123.0,10.0,26.0,268.0,9.0,10.0,129.0,16.0,57.0,10.0,12.0,500.0,111.0,287.0,17.0,9.0,23.0,41.0,85.0,304.0,245.0,46.0
120,26.0,26.0,24.0,228.0,110.0,114.0,132.0,249.0,52.0,47.0,59.0,19.0,10.0,219.0,35.0,68.0,155.0,147.0,121.0,245.0,128.0,25.0,24.0,87.0,500.0,54.0,500.0,15.0,71.0,10.0,29.0,337.0,9.0,10.0,125.0,12.0,129.0,10.0,12.0,500.0,108.0,136.0,50.0,9.0,18.0,43.0,40.0,290.0,143.0,77.0
121,15.0,27.0,25.0,213.0,29.0,11.0,179.0,143.0,63.0,50.0,118.0,33.0,10.0,138.0,40.0,14.0,140.0,103.0,75.0,172.0,51.0,45.0,20.0,193.0,500.0,46.0,500.0,9.0,24.0,10.0,66.0,274.0,10.0,10.0,126.0,10.0,78.0,10.0,10.0,500.0,125.0,339.0,19.0,9.0,11.0,32.0,43.0,220.0,131.0,60.0
122,18.0,26.0,23.0,207.0,41.0,27.0,135.0,145.0,63.0,105.0,336.0,18.0,10.0,141.0,38.0,20.0,94.0,70.0,177.0,169.0,35.0,48.0,21.0,127.0,500.0,45.0,500.0,25.0,82.0,10.0,58.0,243.0,10.0,10.0,127.0,16.0,94.0,10.0,10.0,500.0,107.0,208.0,43.0,9.0,29.0,42.0,89.0,143.0,106.0,45.0
123,24.0,28.0,24.0,203.0,88.0,36.0,166.0,170.0,63.0,57.0,131.0,19.0,10.0,159.0,42.0,18.0,97.0,89.0,88.0,231.0,112.0,42.0,19.0,118.0,490.0,52.0,500.0,29.0,172.0,10.0,20.0,500.0,10.0,10.0,122.0,11.0,167.0,10.0,10.0,500.0,103.0,318.0,12.0,9.0,19.0,38.0,107.0,276.0,95.0,82.0
124,20.0,25.0,24.0,206.0,52.0,22.0,186.0,139.0,63.0,38.0,111.0,28.0,10.0,230.0,38.0,43.0,152.0,71.0,94.0,216.0,102.0,55.0,21.0,264.0,434.0,55.0,500.0,21.0,27.0,10.0,34.0,173.0,9.0,10.0,119.0,61.0,71.0,10.0,16.0,462.0,106.0,487.0,37.0,9.0,26.0,29.0,143.0,189.0,93.0,67.0
125,20.0,28.0,24.0,202.0,229.0,16.0,179.0,125.0,64.0,120.0,40.0,27.0,10.0,180.0,37.0,14.0,99.0,90.0,142.0,187.0,64.0,37.0,21.0,132.0,369.0,53.0,500.0,18.0,181.0,10.0,33.0,284.0,9.0,10.0,121.0,72.0,95.0,10.0,12.0,500.0,111.0,170.0,48.0,9.0,28.0,39.0,44.0,150.0,129.0,36.0
126,14.0,28.0,24.0,177.0,60.0,29.0,218.0,238.0,104.0,37.0,117.0,19.0,10.0,149.0,36.0,32.0,132.0,55.0,132.0,158.0,45.0,44.0,22.0,19.0,297.0,44.0,500.0,11.0,93.0,10.0,29.0,197.0,9.0,10.0,123.0,37.0,69.0,10.0,9.0,343.0,182.0,212.0,57.0,9.0,20.0,26.0,171.0,242.0,100.0,54.0
